race,horse_name,post_position,overall_class_rating,class_rank,class_category,class_edge,earnings_class_score,hidden_class_score,class_move_direction
11,BRILLIANT BERTI,11,46.16893880398579,11.0,Claiming,None,50.912171701165,60.861538461538466,Up
11,REDISTRICTING,4,41.033775982724535,12.0,Claiming,Hidden_quality,37.427142857142854,76.47187232336749,Up
12,CHUNK OF GOLD,19,64.6693147021029,1.0,Allowance,Rising_star,80.0,66.39771567367633,Up
12,JOURNALISM,8,64.57351102120887,2.0,Allowance,Rising_star,72.94,76.66837007069624,Up
12,SANDMAN,17,64.33089913711115,3.0,Allowance,Rising_star,72.8925,75.93091379037048,Up
12,GRANDE,10,63.285411957647895,4.0,Allowance,Rising_star,78.5,64.03470652549298,Up
12,RODRIGUEZ,4,63.15829823089486,5.0,Allowance,Rising_star,72.94,71.95099410298286,Up
12,TIZTASTIC,14,62.71727318436169,6.0,Allowance,None,70.61865272017565,73.9629315342755,Up
12,FINAL GAMBIT,3,62.48980769230769,7.0,Allowance,Rising_star,82.75,55.00769230769231,Up
12,COAL BATTLE,16,61.33462286298325,8.0,Allowance,Rising_star,72.8925,65.94332620994417,Up
12,SOVEREIGNTY,18,61.05820769230769,9.0,Allowance,Rising_star,72.902,65.00769230769231,Up
12,BURNHAM SQUARE,9,59.74348076923077,10.0,Claiming,Rising_star,72.90833333333333,60.61576923076923,Up
12,PUBLISHER,13,58.799895720104665,11.0,Claiming,Rising_star,70.12857142857143,74.14012859082507,Up
12,BAEZA,21,58.46284771677383,12.0,Claiming,Rising_star,71.75,58.0844923892461,Up
12,CITIZEN BULL,1,58.442169228737825,13.0,Claiming,None,67.50422111196515,76.88423242784502,Up
12,OWEN ALMIGHTY,20,58.30923318209392,14.0,Claiming,None,63.17719840004432,70.43164634024659,Up
12,FLYING MOHAWK,11,58.1072625060156,15.0,Claiming,Rising_star,65.6,66.12420835338536,Up
12,AMERICAN PROMISE,5,56.77249341485524,16.0,Claiming,Rising_star,65.56666666666666,74.22497804951747,Up
12,NEOEQUOS,2,56.605631146473115,17.0,Claiming,Rising_star,60.9013418270534,68.16675774766361,Up
12,ADMIRE DAYTONA,6,56.51219230769231,18.0,Claiming,Rising_star,72.87666666666667,49.892307692307696,Up
12,LUXOR CAFE,7,55.59442307692308,19.0,Claiming,Rising_star,65.15,58.42307692307692,Up
12,EAST AVENUE,12,54.36941350951646,20.0,Claiming,None,68.44955138866905,61.89038461538461,Up
12,RENDER JUDGMENT,15,48.94296255306436,21.0,Claiming,Rising_star,59.93056352043155,69.08069656290056,Up
13,BIG TRUZZ,14,61.45146070003496,1.0,Allowance,Rising_star,74.75,59.37986900011651,Up
13,TOUCHY,8,58.53008715303318,2.0,Claiming,None,58.93010820332159,65.03846153846155,Lateral
13,ROMANESQUE,9,54.6990739308381,3.0,Claiming,None,69.10185185185185,62.01080199168254,Up
13,PATCH ADAMS,11,52.44949076923076,4.0,Claiming,None,68.6228,55.230769230769226,Up
13,TERRAPIN STATION,16,50.72969230769231,5.0,Claiming,Rising_star,70.25,47.057307692307695,Up
13,DAPPER MOON,2,49.81357561689552,6.0,Claiming,Hidden_quality,37.62750673527496,67.93732528673928,Up
13,FURIO,3,48.33513309054348,7.0,Claiming,Rising_star,55.80833333333334,60.73794363514494,Up
13,MULTIVERSE,7,47.07613991198834,8.0,Claiming,"Hidden_quality, Rising_star",40.53,58.625466373294465,Up
13,TINY LAKE,5,44.96919612323515,9.0,Claiming,Rising_star,40.542857142857144,51.58303469649812,Up
13,CLASSIC TIME,6,42.42145401086992,10.0,Claiming,None,44.93633802816901,57.333672993979576,Up
13,JACK'S PROMISE,1,42.00013757155392,11.0,Claiming,Rising_star,38.43620315046171,44.84615384615385,Up
13,HAUNTED FLAME,15,41.47524358367221,12.0,Claiming,Hidden_quality,31.063647454774923,54.15534076341166,Up
13,JOEJOE GO,12,40.13188545615057,13.0,Claiming,None,43.73145161290323,51.509107434480406,Up
13,SHAN,4,34.88482284801772,14.0,Low,Hidden_quality,30.55482000414194,53.783846153846156,Up
13,FULLY VOLATILE,13,32.24700789342686,15.0,Low,Hidden_quality,25.484078125,44.26390912392287,Up
13,OPTICAL,10,31.126341310111126,16.0,Low,Hidden_quality,29.766666666666666,54.937804367037096,Up
14,PURSUITNEVERSLEEPS,12,57.88521918412138,1.0,Claiming,Rising_star,56.5,49.8673972804046,Lateral
14,ADVANCED SPIRIT,5,56.357893690756704,2.0,Claiming,Rising_star,49.0,56.02631230252235,Lateral
14,INTO THIN AIR,1,54.226039109468715,3.0,Claiming,Rising_star,44.25,56.0451303648957,Lateral
14,LAMBO,13,52.64721095569186,4.0,Claiming,Hidden_quality,37.13411764705882,61.456193381717966,Lateral
14,MAINSTREAM,14,52.053190219084684,5.0,Claiming,"Hidden_quality, Rising_star",39.75,55.55230073028228,Lateral
14,DELTA TAU CHI,9,51.928540943285654,6.0,Claiming,Rising_star,42.21,51.44680314428552,Lateral
14,HARBE,8,51.0779788597905,7.0,Claiming,Rising_star,40.1,51.77659619930166,Lateral
14,SEND COINS,7,47.35232092474112,8.0,Claiming,Rising_star,37.75,42.88273641580374,Lateral
14,EXCITE,10,47.24322307692307,9.0,Claiming,Rising_star,38.134,41.94307692307692,Lateral
14,PEDIATRICIAN,2,46.729807692307695,10.0,Claiming,Rising_star,37.75,40.80769230769231,Lateral
14,ARTHUR JR,6,46.7177159112901,11.0,Claiming,None,35.287231939619026,44.46153846153847,Lateral
14,BLISTERING,4,45.294538461538465,12.0,Claiming,Rising_star,33.07,43.04346153846154,Lateral
14,SHALLUS,11,45.079593899837995,13.0,Claiming,"Hidden_quality, Rising_star",27.8688718267863,50.1286719259472,Lateral
14,BON TEMPS,3,42.53282733205374,14.0,Claiming,"Rising_star, Faces_easier",32.990043643880114,46.457692307692305,Lateral
