race,horse_name,post_position,composite_form_score,form_rank,form_cycle_state,form_edge,beaten_time_trend,avg_position_gain,strong_late_kick,bounce_risk
5,SERENE SERAPH,4,58.36305194805195,4.0,INSUFFICIENT_DATA,"Consistent_closer, Fresh_and_ready",-0.005974025974025942,4.5,True,
5,SIMPLY IN FRONT,9,57.40162337662338,5.0,FRESHENING,Fresh_and_ready,-0.07499999999999998,2.9,False,Low
5,SPECIAL WAN,10,55.487272727272725,6.0,FRESHENING,Fresh_and_ready,0.11863636363636365,2.0,False,Unknown
5,SACRED WISH,6,54.68827561327561,7.0,FRESHENING,Fresh_and_ready,0.02857142857142857,1.5,False,Low
5,POOLSIDE WITH SLIM,8,54.06071428571428,8.0,FRESHENING,Fresh_and_ready,-0.01249999999999999,0.4,False,Historical_bouncer
5,PIN UP BETTY,3,51.327891774891775,9.0,FRESHENING,Fresh_and_ready,0.08364285714285714,1.8,False,Low
5,MOVIN' ON UP,2,46.02449494949495,10.0,DECLINING,None,0.2886363636363637,1.3,False,Low
6,MACHO MUSIC,7,56.598961038961036,1.0,FRESHENING,Fresh_and_ready,0.24590909090909094,1.1428571428571428,False,Low
6,BUILT,2,55.97005050505051,2.0,FRESHENING,Fresh_and_ready,0.11318181818181816,1.1666666666666667,False,Low
6,MADAKET ROAD,1,54.55,3.0,FRESHENING,None,-0.049999999999999954,1.2,False,Historical_bouncer
6,SMOKEN WICKED,4,50.53168831168831,4.0,FRESHENING,None,0.41584415584415585,0.1,False,Low
6,PERFECT FORCE,9,50.305519480519486,5.0,DECLINING,None,0.15844155844155844,2.0,False,Historical_bouncer
6,GAMING,6,48.275555555555556,6.0,FRESHENING,None,0.36,1.1666666666666667,False,Historical_bouncer
6,INNOVATOR,8,46.651161616161616,7.0,RECOVERING,None,0.17204545454545458,-1.7,False,Historical_bouncer
6,CALIFORNIA BURRITO,3,43.934393939393935,8.0,DECLINING,None,-0.5650000000000001,1.0,False,Low
6,GATE TO WIRE,5,39.98772727272728,9.0,DECLINING,None,0.010909090909090913,0.5,False,Historical_bouncer
7,THINK BIG,7,64.18729797979798,1.0,FRESHENING,Consistent_closer,-0.19454545454545452,3.75,True,Historical_bouncer
7,EAMONN,11,64.03040404040405,2.0,FRESHENING,Fresh_and_ready,0.13742424242424245,2.6,True,Low
7,ARREST ME RED,5,59.66672227772228,3.0,FRESHENING,Fresh_and_ready,0.05602597402597401,0.8,False,Low
7,ROGUE LIGHTNING,8,58.30573593073593,4.0,INSUFFICIENT_DATA,Fresh_and_ready,-0.034632034632034625,4.5,True,
7,MISCHIEVOUS ROGUE,12,57.80887445887446,5.0,FRESHENING,Fresh_and_ready,-0.06222943722943721,3.8,True,Low
7,RUN CARSON,6,56.92305194805195,6.0,FRESHENING,None,-0.025974025974025972,3.3,False,Historical_bouncer
7,UNCONQUERABLE KEEN,10,56.90180375180375,7.0,FRESHENING,Fresh_and_ready,0.16201298701298705,0.4,False,Low
7,AMBIVALENT,2,56.65714285714286,8.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.10357142857142856,1.7,True,Low
7,NOBALS,3,56.0025974025974,9.0,FRESHENING,Fresh_and_ready,0.002597402597402606,1.7,False,Historical_bouncer
7,COPPOLA,1,55.66121933621933,10.0,FRESHENING,None,0.006493506493506496,-1.4,False,Low
